Reaction," ""$E_{\gamma;thr}$ [MeV]"""," '$W_{thr}$ [MeV]'"
$\gamma p \rightarrow \pi^0 p$," 144.7"," 1073.2"
$\gamma n \rightarrow \pi^0 n$," 144.7"," 1074.5"
$\gamma n \rightarrow \pi^- p$," 148.5"," 1077.8"
$\gamma p \rightarrow \pi^+ n$," 151.4"," 1079.1"
$\gamma p \rightarrow \eta p$," 707.8"," 1486.1"
$\gamma n \rightarrow \eta n$," 707.6"," 1487.4"
$\gamma p \rightarrow \eta^{\prime} p$," 1446.6"," 1896.1"
$\gamma n \rightarrow \eta^{\prime} n$," 1446.0"," 1897.3"
$\gamma p \rightarrow \omega p$," 1109.1"," 1720.9"
$\gamma n \rightarrow \omega n$," 1108.6"," 1722.2"
$\gamma p \rightarrow \rho p$," 1095.5"," 1713.5"
$\gamma p \rightarrow \phi p$," 1573.3"," 1957.7"
$\gamma p \rightarrow K^+ \Lambda$," 911.1"," 1609.4"
$\gamma n \rightarrow K^0 \Lambda$," 915.3"," 1613.3"
$\gamma p \rightarrow K^+ \Sigma^0$," 1046.2"," 1686.3"
$\gamma p \rightarrow K^0 \Sigma^+$," 1047.4"," 1687.0"
$\gamma n \rightarrow K^+ \Sigma^-$," 1052.1"," 1691.1"
$\gamma n \rightarrow K^0 \Sigma^0$," 1050.6"," 1690.3"
$\gamma p \rightarrow \pi^0 \pi^0 p$," 308.8"," 1208.2"
$\gamma n \rightarrow \pi^0 \pi^0 n$," 308.7"," 1209.5"
$\gamma p \rightarrow \pi^+ \pi^0 n$," 316.4"," 1214.1"
$\gamma p \rightarrow \pi^+ \pi^- p$," 320.7"," 1217.4"
$\gamma p \rightarrow \pi^0 \eta p$," 931.3"," 1621.1"
$\gamma p \rightarrow K^+ K^- p$," 1506.9"," 1925.6"
