Delta(1232),3/2+,****,1232,117
Delta(1600),3/2+,****,1570,250
Delta(1620),1/2-,****,1610,130
Delta(1700),3/2-,****,1710,300
Delta(1750),1/2+,*,1750,300
Delta(1900),1/2-,***,1860,250
Delta(1905),5/2+,****,1880,330
Delta(1910),1/2+,****,1900,300
Delta(1920),3/2+,***,1920,300
Delta(1930),5/2-,***,1950,300
Delta(1940),3/2-,**,2000,400
Delta(1950),7/2+,****,1930,285
Delta(2000),5/2+,**,2000,450
Delta(2150),1/2-,*,2150,200
Delta(2200),7/2-,***,2200,350
Delta(2300),9/2+,**,2300,350
Delta(2350),5/2-,*,2350,350
Delta(2390),7/2+,*,2390,300
Delta(2400),9/2-,**,2400,450
Delta(2420),11/2+,****,2450,500
Delta(2750),13/2-,**,2750,350
Delta(2950),15/2+,**,2950,330
